epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93263,3.41631,4.45518,3.52051,0.002,0.6,0.0018,0.00018,3.13198,4.79796,3.22572,0,0,0
2,6.26453,4.22007,4.59434,4.07356,0.002,0.6,0.00184,0.00037,3.11069,4.98433,3.16609,1.901e-05,1.901e-05,1.901e-05
3,9.66798,3.97978,5.19594,3.96522,0.002,0.6,0.00187,0.00056,2.76063,5.08972,2.99383,3.604e-05,3.604e-05,3.604e-05
4,13.0071,3.11777,4.23722,3.40085,0.002,0.6,0.00189,0.00076,2.2366,5.14935,2.78498,5.109e-05,5.109e-05,5.109e-05
5,16.0558,2.64308,4.40983,2.9508,0.002,0.6,0.00189,0.00094,1.75259,5.39873,2.67499,6.416e-05,6.416e-05,6.416e-05
6,19.2015,2.93307,4.58805,3.19566,0.002,0.6,0.00185,0.00093,1.84486,4.71523,2.65118,7.525e-05,7.525e-05,7.525e-05
7,22.3905,2.52352,4.23906,2.73913,0.002,0.6,0.00188,0.00129,2.03751,4.32868,2.65253,8.436e-05,8.436e-05,8.436e-05
8,25.439,2.47731,4.16556,2.88093,0.00333,1,0.00387,0.00231,2.15512,4.38007,2.6629,9.149e-05,9.149e-05,9.149e-05
9,28.7759,2.58771,3.93621,2.80147,0.00333,1,0.00461,0.00259,2.13802,4.26183,2.57857,9.664e-05,9.664e-05,9.664e-05
10,31.7546,2.74338,4.77298,2.84787,0.00333,1,0.00516,0.00316,1.977,4.22313,2.42806,9.981e-05,9.981e-05,9.981e-05
11,34.8466,2.27272,4.52049,2.54901,0.00333,1,0.00704,0.00331,1.89449,4.14579,2.3367,0.000101,0.000101,0.000101
12,37.9826,2.31294,4.64382,2.64375,0.00333,1,0.00761,0.00417,1.84068,4.01381,2.29285,0.00010021,0.00010021,0.00010021
13,41.186,1.65164,4.39461,2.01714,0.00333,1,0.00845,0.00506,1.81545,3.99902,2.22274,9.744e-05,9.744e-05,9.744e-05
14,44.5076,1.68728,4.12221,2.12344,0.00333,1,0.00874,0.00517,1.82846,4.03997,2.24866,9.269e-05,9.269e-05,9.269e-05
15,47.6719,1.53939,3.84543,2.0136,0.00333,1,0.00876,0.00533,1.74899,4.08889,2.21435,8.596e-05,8.596e-05,8.596e-05
16,50.7173,1.47235,3.90386,1.93456,0.00333,1,0.00848,0.00458,1.70884,4.03944,2.15069,7.725e-05,7.725e-05,7.725e-05
17,53.7728,1.43283,3.7905,1.93691,0.00333,1,0.00849,0.00459,1.77006,3.91437,2.16095,6.656e-05,6.656e-05,6.656e-05
18,56.9465,1.21857,3.63385,1.77438,0.00333,1,0.00849,0.00459,1.77006,3.91437,2.16095,5.389e-05,5.389e-05,5.389e-05
19,60.0652,1.25045,3.6257,1.80205,0.00333,1,0.00846,0.00491,1.69656,3.82808,2.0963,3.924e-05,3.924e-05,3.924e-05
20,63.0627,1.31247,3.53395,1.78859,0.00333,1,0.00846,0.00491,1.69656,3.82808,2.0963,2.261e-05,2.261e-05,2.261e-05
