epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.42954,3.50471,4.47312,3.52386,0.002,0.6,0.00181,0.00018,3.14459,4.81418,3.23313,0,0,0
2,4.92245,4.22007,4.59434,4.07356,0.002,0.6,0.00185,0.00037,3.11911,4.95672,3.17512,1.934e-05,1.934e-05,1.934e-05
3,7.3035,3.92672,5.13877,3.90912,0.002,0.6,0.00191,0.00057,2.71784,5.06882,2.98451,3.736e-05,3.736e-05,3.736e-05
4,9.64657,3.04642,4.2276,3.38063,0.002,0.6,0.00197,0.00079,2.14521,5.17167,2.78131,5.406e-05,5.406e-05,5.406e-05
5,12.0296,2.70705,4.34355,3.04729,0.002,0.6,0.00196,0.00079,1.83193,5.49634,2.71432,6.944e-05,6.944e-05,6.944e-05
6,14.3115,2.77317,4.55085,3.08468,0.002,0.6,0.00192,0.00096,2.17228,4.81932,2.80361,8.35e-05,8.35e-05,8.35e-05
7,16.6413,2.38522,4.23362,2.68762,0.00333,1,0.0036,0.00146,2.63453,4.69664,3.01246,9.624e-05,9.624e-05,9.624e-05
8,19.2128,2.41183,4.08831,2.78214,0.00333,1,0.00433,0.00165,2.82354,4.48835,3.11782,0.00010766,0.00010766,0.00010766
9,21.5998,2.59678,3.91523,2.69052,0.00333,1,0.00554,0.00164,2.88951,4.41994,3.13763,0.00011776,0.00011776,0.00011776
10,24.0438,2.57746,4.49665,2.69019,0.00333,1,0.00602,0.00167,2.79549,4.3425,3.05766,0.00012654,0.00012654,0.00012654
11,26.5412,2.28262,3.72234,2.41686,0.00333,1,0.00649,0.00182,2.65057,4.28365,2.95304,0.000134,0.000134,0.000134
12,28.9829,1.9181,3.71542,2.13403,0.00333,1,0.006,0.00287,2.35197,4.37237,2.84123,0.00014014,0.00014014,0.00014014
13,31.6077,2.10556,3.78209,2.2579,0.00333,1,0.00675,0.00297,2.31971,4.28842,2.77353,0.00014496,0.00014496,0.00014496
14,34.0517,1.91981,3.52077,2.08717,0.00333,1,0.00693,0.00306,2.38255,4.26996,2.8024,0.00014846,0.00014846,0.00014846
15,36.4752,1.86106,3.6818,2.17129,0.00333,1,0.00701,0.0031,2.35968,4.10572,2.82254,0.00015064,0.00015064,0.00015064
16,39.0491,1.61102,3.67997,1.99397,0.00333,1,0.02525,0.0044,2.34951,4.02468,2.88322,0.0001515,0.0001515,0.0001515
17,41.6299,1.52794,3.33411,1.79863,0.00333,1,0.52543,0.10589,2.23902,3.92174,2.56956,0.00015104,0.00015104,0.00015104
18,44.1435,1.42348,3.36637,1.6741,0.00333,1,0.52543,0.10589,2.23902,3.92174,2.56956,0.00014926,0.00014926,0.00014926
19,46.6549,1.61169,3.25247,1.87879,0.00333,1,0.845,0.21208,1.94641,3.76606,2.05173,0.00014616,0.00014616,0.00014616
20,49.2987,1.718,3.1009,1.92587,0.00333,1,0.845,0.21208,1.94641,3.76606,2.05173,0.00014174,0.00014174,0.00014174
21,51.7867,1.3221,3.44266,1.66934,0.00333,1,0.845,0.35783,1.76109,3.55812,1.65754,0.000136,0.000136,0.000136
22,54.1904,1.29833,3.505,1.55124,0.00333,1,0.845,0.35783,1.76109,3.55812,1.65754,0.00012894,0.00012894,0.00012894
23,56.6326,1.13288,3.31605,1.56953,0.00333,1,0.845,0.45892,1.67045,3.44502,1.64429,0.00012056,0.00012056,0.00012056
24,59.1293,1.00445,3.25871,1.51127,0.00333,1,0.845,0.45892,1.67045,3.44502,1.64429,0.00011086,0.00011086,0.00011086
25,61.6184,0.90169,3.0537,1.4304,0.00333,1,0.845,0.39782,1.56183,3.71797,1.73667,9.984e-05,9.984e-05,9.984e-05
26,64.2734,0.97158,3.14247,1.39931,0.00333,1,0.845,0.39782,1.56183,3.71797,1.73667,8.75e-05,8.75e-05,8.75e-05
27,66.9877,0.97219,3.07796,1.43957,0.00333,1,0.845,0.4239,1.51164,3.72428,1.65707,7.384e-05,7.384e-05,7.384e-05
28,69.8905,0.96773,3.22768,1.34057,0.00333,1,0.845,0.4239,1.51164,3.72428,1.65707,5.886e-05,5.886e-05,5.886e-05
29,72.9663,1.03995,3.29372,1.3594,0.00333,1,0.845,0.34882,1.45123,3.50048,1.60739,4.256e-05,4.256e-05,4.256e-05
30,75.8336,0.90529,3.03909,1.31513,0.00333,1,0.845,0.34882,1.45123,3.50048,1.60739,2.494e-05,2.494e-05,2.494e-05
